commune,com_avg_income,min_distance,latitude,longitude
Berchem,33144,3.292420059567171,50.8649231,4.2946734
Deurne,33144,5.222487486232126,51.20849,4.4719297
Hoboken,33144,5.328646791129246,51.1794946,4.3617847
Uccle,43622,3.9643978856220787,50.8035441,4.3338445
Antwerpen,33144,0.0,51.2211097,4.3997081
Ixelles,29704,1.833934329910997,50.8331141,4.3668279
Wommelgem,41392,8.872834151278463,51.2031044,4.5238022
Boom,35052,15.04710251028195,51.0873789,4.3667216
Kortrijk,37694,40.82836636011914,50.8276429,3.2659884
Anderlecht,26481,0.0,50.8390983,4.3296526
Zeveren,42117,16.76145221677158,50.9967515,3.5031988
Zeveneken,44745,13.623091418324073,51.1078751,3.9000296
Willebroek,38600,18.06463097931639,51.0606816,4.3588917
Waregem,38756,27.654503012976015,50.8868222,3.4323622
Wilrijk,33144,5.686229838645599,51.1700864,4.3942577
Sleidinge,41865,8.992477886385783,51.1262818,3.6678135
Gent,36726,0.0,51.0538286,3.7250121
Stabroek,43170,12.596873359148239,51.3326535,4.3680664
Molenbeek-Saint-Jean,25895,0.0,50.8545959,4.338636
Koekelberg,28773,0.8328940489080054,50.8606042,4.3315503
Berchem-Sainte-Agathe,32997,3.292420059567171,50.8649231,4.2946734
Aalst,38692,22.97062281615397,50.9383226,4.0392147
Bruxelles,29704,0.0,50.8465573,4.351697
Sint-Niklaas,36702,19.187390250879403,51.1646685,4.1395124
Westende,34983,32.390415436100895,51.1594035,2.768718
Zandvoorde,33257,47.24348905888709,50.8128399,2.9809192
Houthalen,35437,45.19863007818453,51.031137,5.3720755
Middelkerke,34983,28.378251420427297,51.1855865,2.8211561
Ledeberg,36726,2.1749977549792754,51.0372053,3.7414088
Walem,39500,17.7247701548536,51.0657941,4.4568748
Schaerbeek,29105,0.0,50.8676041,4.3737121
Woluwe-Saint-Lambert,39198,4.55645953269966,50.8430448,4.4256732
Zottegem,41829,21.91159708101097,50.864231200000006,3.810268614570032
Westkapelle,49006,12.958398270615836,51.3150359,3.302445
Rocourt,29723,4.096262304843282,50.678042,5.547616
Wenduine,39082,14.370161908041256,51.299095,3.0794343
Rumbeke,36817,31.0214372694116,50.9333267,3.1541566
Uitkerke,33019,12.141764155454922,51.3039998,3.1420244
Etterbeek,29704,2.6834598594772126,50.8361447,4.3861737
Waarloos,47563,13.406554458366193,51.1052659,4.453
Borgerhout,33144,3.3687293433137047,51.2128453,4.4462406
Leuven,43012,0.0,50.879202,4.7011675
Auderghem,42739,6.221687279275568,50.8171712,4.4270852
Merksem,33144,3.7651389624906964,51.2438894,4.4397179
Ganshoren,31069,2.7828559542617928,50.8703273,4.307798
Avelgem,37258,36.28586047569556,50.77750635,3.449666230130913
Harelbeke,37874,36.27618755498503,50.857512,3.3113699
Vissenaken,38387,15.829155813435783,50.8379912,4.9170287
Sint-Denijs-Westrem,36726,5.501922629751593,51.0199405,3.6676767
Sint-Lambrechts-Herk,39652,34.20584378296784,50.9019388,5.3058995
Laeken,29704,2.48163692510721,50.883392,4.3487134
Sint-Pieters-Leeuw,37716,8.89164358001034,50.7800261,4.2443604
Orp-le-Grand,41050,27.789456152432887,50.7034875,4.9912852
Zétrud-Lumay,39574,18.25635361194687,50.7601672,4.88015746346154
Waardamme,42060,10.704079259755483,51.1123296,3.2222872
Sint-Joris,35914,32.46571158934455,51.1303504,2.7781352
Woumen,35138,33.92634540232992,51.0012605,2.8702221
Rupelmonde,41716,12.927334397106515,51.1271881,4.290421
Soignies,36897,16.088355832129054,50.579203,4.0685604
Heldergem,42081,25.007350460907688,50.8816742,3.9548012
Saint-Josse-ten-Noode,22954,1.3146409065468496,50.8508197,4.3691634
Sint-Gillis-Dendermonde,38820,24.107055830094364,51.0211749,4.1184422
Ramsdonk,44261,16.5855015213225,51.0148193,4.3356406
Weert,43169,19.613475466399084,51.1021651,4.1920146
Welden,39518,20.060815772236843,50.8791033,3.6536587
